,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,82906,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 47 IM. JÓZEFA IGNACEGO KRASZEWSKIEGO W LUBLINIE,Lublin,ul. Zdrowa 1,48,70,15,73,64,48,59,24,64,72,48,79,23,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,83798,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SIÓSTR URSZULANEK UNII RZYMSKIEJ W LUBLINIE,Lublin,ul. Prezydenta Gabriela Narutowicza 8,49,83,10,84,89,49,68,25,72,72,46,88,17,96,100,,,,,,3,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,86143,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""SKRZYDŁA"" W LUBLINIE",Lublin,ul. Jutrzenki 22,15,78,15,82,82,15,77,19,80,92,10,90,16,97,100,,,,,,5,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,88491,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA IM. ŚWIĘTEJ JADWIGI KRÓLOWEJ W LUBLINIE,Lublin,ul. Aleja Kompozytorów Polskich 11,4,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,88493,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA IM. SEBASTIANA FABIANA KLONOWICA W LUBLINIE,Lublin,ul. Aleja Warszawska 94,31,77,12,76,80,31,82,17,88,92,28,95,9,99,100,,,,,,,,,,,3,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90592,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 28 Z ODDZIAŁAMI INTEGRACYJNYMI IM. SYNÓW PUŁKU ZIEMI LUBELSKIEJ W LUBLINIE,Lublin,ul. Radości 13,93,68,18,71,73,94,53,26,52,16,92,75,27,85,100,,,,,,,,,,,2,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90593,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 42 IM. KONSTANTEGO ILDEFONSA GAŁCZYŃSKIEGO,Lublin,ul. Rycerska 9,43,65,20,69,64,43,60,30,60,96,43,81,23,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90594,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 46 IM. KRÓLA JANA III SOBIESKIEGO W LUBLINIE,Lublin,ul. Biedronki 13,48,60,18,64,69,48,49,26,52,56,46,71,30,88,100,,,,,,1,,,,,,,,,,1,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90595,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 51 IM. JANA PAWŁA II W LUBLINIE,Lublin,ul. Bursztynowa 22,158,68,17,71,71,158,62,27,66,76,158,82,25,95,100,,,,,,1,,,,,1,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90596,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 25 IM. WŁADYSŁAWA BRONIEWSKIEGO W LUBLINIE,Lublin,ul. Sieroca 17,32,45,21,49,49,32,30,19,24,16,33,49,34,29,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90597,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 32 Z ODDZIAŁAMI INTEGRACYJNYMI IM. PAMIĘCI MAJDANKA W LUBLINIE,Lublin,ul. Kazimierza Przerwy-Tetmajera 2,79,64,16,67,62,79,63,26,64,72,79,77,25,89,98,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90775,dla młodzieży,Nie,MIĘDZYNARODOWA SZKOŁA PODSTAWOWA PADEREWSKI W LUBLINIE,Lublin,ul. Symfoniczna 3a,57,78,10,78,87,57,71,20,76,92,56,94,9,98,98,,,,,,1,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,90781,dla młodzieży,Nie,SPOŁECZNA TERAPEUTYCZNA SZKOŁA PODSTAWOWA IM. H. CH. ANDERSENA W LUBLINIE,Lublin,ul. Przyjaźni 20,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,91544,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 39 IM. SZARYCH SZEREGÓW W LUBLINIE,Lublin,ul. Krężnicka 156,35,68,12,69,69,35,53,23,52,40,35,82,20,93,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,91547,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 45 W LUBLINIE,Lublin,ul. Radzyńska 5,48,67,13,69,69,48,54,22,56,44,47,85,18,93,98,,,,,,1,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,104416,nie dotyczy,Tak,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. W LUBLINIE,Lublin,ul. Muzyczna 10,54,77,10,78,82,54,64,23,70,80,54,90,15,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,118823,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. ALBERTA EINSTEINA W LUBLINIE,Lublin,ul. Tadeusza Jacyny-Onyszkiewicza 17,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,125831,dla młodzieży,Nie,"""SKALA"" NIEPUBLICZNA SZKOŁA PODSTAWOWA ?Z ODDZIAŁAMI INTEGRACYJNYMI",Lublin,ul. Zemborzycka 132-136,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,128630,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA MONTESSORI W LUBLINIE,Lublin,ul. Nadbystrzycka 162,8,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,132368,dla młodzieży,Nie,"RODZINNA SZKOŁA PODSTAWOWA ""LEON"" W LUBLINIE",Lublin,ul. Ks. Ludwika Zalewskiego 3,3,,,,,3,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,133399,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. ŚW. WINCENTEGO PALLOTTIEGO W LUBLINIE,Lublin,ul. Aleja Warszawska 31,48,77,13,78,73,48,68,21,72,72,48,89,15,94,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,133710,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. KRÓLA WŁADYSŁAWA ŁOKIETKA,Lublin,ul. Smyczkowa 3,17,67,13,67,60,17,54,28,60,60,18,76,25,86,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,133715,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 57 IM. JANA KOCHANOWSKIEGO,Lublin,ul. Zygmunta Krasińskiego 7,25,75,9,78,80,25,61,19,60,48,26,94,7,96,100,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lubelskie,Lublin,Lublin,Gmina miejska,0663011,133718,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM. FRYDERYKA CHOPINA,Lublin,ul. Poturzyńska 2,76,75,13,78,82,76,66,24,68,88,76,78,23,91,100,,,,,,,,,,,,,,,,,,,,,,,,,
