,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,58471,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 20 IM.OBROŃCÓW POKOJU W RADOMIU,Radom,ul. Malenicka 29,56,61,15,58,58,56,51,24,48,24,54,57,22,54,45,,,,,,,,,,,2,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,61436,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 23 IM.STEFANA ŻEROMSKIEGO W RADOMIU,Radom,ul. Gajowa 60,45,62,18,60,38,45,55,26,60,36,45,67,29,80,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,63252,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 24 IM. KORNELA MAKUSZYŃSKIEGO W RADOMIU,Radom,ul. Powstańców Śląskich 4,97,62,16,64,60,97,52,25,56,24,96,73,25,78,100,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,64669,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 28 IM. ADAMA MICKIEWICZA W RADOMIU,Radom,ul. Stefana Jaracza 8,62,64,18,68,73,62,42,25,40,20,62,69,28,73,93,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,65015,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 14 INTEGRACYJNA IM. JANA PAWŁA II W RADOMIU,Radom,ul. Wierzbicka 81,45,76,12,78,80,45,63,21,60,56,44,83,19,91,100,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,70267,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 25 W RADOMIU,Radom,ul. Starokrakowska 124,19,63,12,64,69,19,54,27,52,20,19,78,26,89,100,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,72300,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 29 Z ODDZIAŁAMI INTEGRACYJNYMI IM.WŁADYSŁAWA BRONIEWSKIEGO W RADOMIU,Radom,ul. Ceglana 14,73,71,19,76,76,73,47,25,44,44,73,67,29,73,98,,,,,,,,,,,1,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,72301,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 31 IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W RADOMIU,Radom,ul. Biała 6,44,58,18,60,62,44,41,22,40,20,45,61,28,65,98,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,73093,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 32 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W RADOMIU,Radom,ul. Prospera Jarzyńskiego 3,34,58,23,59,82,34,41,25,32,24,35,64,33,71,93,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mazowieckie,Radom,Radom,Gmina miejska,1463011,73489,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 33 IM. KAWALERÓW ORDERU UŚMIECHU W RADOMIU,Radom,ul. Oskara Kolberga 5,109,60,21,62,71,108,45,27,36,24,106,67,29,77,98,,,,,,,,,,,2,,,,,,,,,,,,,,
