,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,85727,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 23 MISTRZOSTWA SPORTOWEGO IM. MARIANA GRZEGORZA BUBLEWICZA W OLSZTYNIE,Olsztyn,ul. Gietkowska 12,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,106036,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 20 SPECJALNA DLA UCZNIÓW Z CHOROBAMI PRZEWLEKŁYMI IM. JANUSZA KORCZAKA W OLSZTYNIE,Olsztyn,ul. Żołnierska 18A,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,114041,dla młodzieży,Nie,"SZKOŁA PODSTAWOWA ""OSKAR""",Olsztyn,ul. 11 Listopada 5,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,114045,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA ""ABSOLWENT""",Olsztyn,ul. Jasna 2,5,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,114056,dla młodzieży,Tak,KATOLICKA SZKOŁA PODSTAWOWA IM. ŚWIĘTEJ RODZINY W OLSZTYNIE,Olsztyn,ul. Kardynała Stefana Wyszyńskiego 11,23,77,10,78,78,23,68,24,72,64,24,87,16,92,100,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,115244,dla młodzieży,Nie,"SPOŁECZNA SZKOŁA PODSTAWOWA ""101"" W OLSZTYNIE",Olsztyn,ul. Edwarda Mroza 25,19,72,14,69,64,19,70,18,72,88,17,92,10,98,98,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,115249,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 SPECJALNA W OLSZTYNIE,Olsztyn,ul. Wincentego Pstrowskiego 5a,8,,,,,8,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,122532,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""PIĄTKA"" W OLSZTYNIE",Olsztyn,al. Aleja Marszałka Józefa Piłsudskiego 54A,14,66,17,69,49,14,68,27,74,24,14,86,24,96,98,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,133473,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. SYBIRAKÓW W OLSZTYNIE,Olsztyn,al. Aleja Sybiraków 3a,17,64,18,67,56,17,52,23,48,40,13,60,28,67,89,,,,,,,,,,,4,,,,,,,,,,,,,,
4,Warmińsko-Mazurskie,Olsztyn,Olsztyn,Gmina miejska,2862011,262480,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 311 Z ODDZIAŁAMI DWUJĘZYCZNYMI I SPORTOWYMI,Olsztyn,ul. Kołobrzeska 9,67,72,11,73,76,67,63,21,60,60,65,90,16,95,100,,,,,,,,,,,1,,,,,,,,,,,,,,
