RSPO,Kod teryt gminy,Typ gminy,"liczba
zdających","wynik
średni (%)","liczba
zdających.1","wynik
średni (%).1","liczba
zdających.2","wynik
średni (%).2"
30189,0204045,Obszar wiejski,12.0,66.0,12.0,55.0,12.0,54.0
29117,0204044,Miasto,44.0,53.0,44.0,35.0,44.0,51.0
22352,0203011,Gmina miejska,17.0,56.0,17.0,52.0,17.0,75.0
22354,0203011,Gmina miejska,15.0,62.0,15.0,50.0,4.0,
22355,0203011,Gmina miejska,74.0,50.0,74.0,43.0,74.0,71.0
22348,0203011,Gmina miejska,67.0,58.0,67.0,39.0,67.0,62.0
22349,0203011,Gmina miejska,92.0,56.0,92.0,43.0,91.0,70.0
196277,0203011,Gmina miejska,83.0,54.0,82.0,44.0,84.0,66.0
196278,0203011,Gmina miejska,91.0,48.0,91.0,41.0,92.0,64.0
196276,0203011,Gmina miejska,204.0,59.0,204.0,42.0,184.0,69.0
124982,0203011,Gmina miejska,8.0,,8.0,,3.0,
8918,0203022,Gmina wiejska,24.0,61.0,24.0,58.0,24.0,82.0
10013,0203022,Gmina wiejska,15.0,63.0,15.0,49.0,15.0,61.0
8920,0203022,Gmina wiejska,17.0,52.0,17.0,32.0,18.0,48.0
5488,0203032,Gmina wiejska,26.0,57.0,26.0,48.0,26.0,81.0
5478,0203032,Gmina wiejska,35.0,50.0,35.0,40.0,35.0,60.0
68639,0203042,Gmina wiejska,47.0,50.0,47.0,37.0,47.0,54.0
86168,0203052,Gmina wiejska,15.0,52.0,15.0,35.0,15.0,47.0
13153,0203062,Gmina wiejska,7.0,,7.0,,7.0,
13777,0203062,Gmina wiejska,13.0,61.0,13.0,39.0,13.0,58.0
20470,0205024,Miasto,50.0,63.0,50.0,46.0,41.0,53.0
20471,0205025,Obszar wiejski,17.0,47.0,17.0,45.0,17.0,49.0
20472,0205025,Obszar wiejski,5.0,,5.0,,5.0,
20473,0205025,Obszar wiejski,2.0,,2.0,,2.0,
62449,0205011,Gmina miejska,67.0,54.0,67.0,36.0,66.0,63.0
62448,0205011,Gmina miejska,13.0,43.0,13.0,30.0,13.0,43.0
62450,0205011,Gmina miejska,66.0,57.0,66.0,44.0,66.0,72.0
262465,0205011,Gmina miejska,55.0,52.0,55.0,42.0,52.0,66.0
19089,0205032,Gmina wiejska,18.0,59.0,18.0,41.0,18.0,64.0
90290,0205032,Gmina wiejska,19.0,68.0,19.0,40.0,18.0,67.0
91786,0205042,Gmina wiejska,13.0,69.0,13.0,43.0,13.0,69.0
91785,0205042,Gmina wiejska,8.0,,8.0,,8.0,
16254,0205052,Gmina wiejska,10.0,53.0,10.0,43.0,,
31475,0205052,Gmina wiejska,14.0,57.0,14.0,34.0,14.0,57.0
263271,0205052,Gmina wiejska,3.0,,3.0,,3.0,
16134,0205062,Gmina wiejska,21.0,48.0,21.0,28.0,19.0,36.0
262339,0205062,Gmina wiejska,10.0,65.0,10.0,46.0,2.0,
58772,0261011,Gmina miejska,62.0,59.0,62.0,48.0,43.0,77.0
57858,0261011,Gmina miejska,63.0,55.0,63.0,38.0,63.0,54.0
63480,0261011,Gmina miejska,34.0,45.0,35.0,31.0,35.0,52.0
57882,0261011,Gmina miejska,78.0,62.0,78.0,47.0,46.0,86.0
59633,0261011,Gmina miejska,95.0,64.0,95.0,51.0,94.0,78.0
80185,0261011,Gmina miejska,42.0,58.0,42.0,42.0,36.0,62.0
57883,0261011,Gmina miejska,20.0,48.0,20.0,34.0,20.0,45.0
61299,0261011,Gmina miejska,142.0,69.0,142.0,56.0,142.0,82.0
70805,0261011,Gmina miejska,8.0,,8.0,,7.0,
48087,0261011,Gmina miejska,35.0,56.0,35.0,39.0,27.0,61.0
196221,0261011,Gmina miejska,19.0,70.0,19.0,60.0,17.0,81.0
70299,0261011,Gmina miejska,41.0,53.0,41.0,30.0,44.0,52.0
108866,0207011,Gmina miejska,64.0,59.0,64.0,47.0,64.0,62.0
108860,0207011,Gmina miejska,99.0,54.0,99.0,45.0,99.0,65.0
64750,0207022,Gmina wiejska,9.0,,9.0,,4.0,
60744,0207022,Gmina wiejska,14.0,62.0,14.0,47.0,14.0,70.0
55549,0207022,Gmina wiejska,14.0,57.0,14.0,53.0,7.0,
57235,0207022,Gmina wiejska,34.0,58.0,34.0,36.0,19.0,72.0
107727,0207034,Miasto,57.0,56.0,57.0,34.0,56.0,62.0
86517,0207035,Obszar wiejski,10.0,50.0,10.0,36.0,10.0,37.0
108800,0207035,Obszar wiejski,31.0,60.0,31.0,46.0,31.0,55.0
61783,0207042,Gmina wiejska,31.0,53.0,31.0,38.0,31.0,50.0
89094,0206052,Gmina wiejska,19.0,62.0,19.0,38.0,19.0,47.0
121903,0206062,Gmina wiejska,10.0,36.0,10.0,32.0,9.0,
121872,0206062,Gmina wiejska,11.0,44.0,11.0,26.0,11.0,42.0
122029,0206062,Gmina wiejska,19.0,55.0,19.0,41.0,20.0,55.0
68561,0206011,Gmina miejska,54.0,62.0,54.0,52.0,51.0,81.0
84372,0206021,Gmina miejska,50.0,60.0,50.0,46.0,50.0,67.0
84373,0206021,Gmina miejska,31.0,52.0,31.0,34.0,31.0,58.0
88998,0206072,Gmina wiejska,20.0,59.0,20.0,49.0,6.0,
110381,0206072,Gmina wiejska,32.0,64.0,32.0,53.0,17.0,59.0
110382,0206072,Gmina wiejska,35.0,52.0,35.0,42.0,23.0,63.0
47108,0206031,Gmina miejska,41.0,63.0,41.0,51.0,41.0,65.0
122237,0206082,Gmina wiejska,9.0,,9.0,,9.0,
83607,0206082,Gmina wiejska,23.0,65.0,23.0,67.0,21.0,75.0
83389,0206082,Gmina wiejska,11.0,64.0,11.0,48.0,8.0,
83655,0206082,Gmina wiejska,8.0,,8.0,,3.0,
263974,0206092,Gmina wiejska,41.0,61.0,41.0,30.0,40.0,54.0
82340,0206041,Gmina miejska,18.0,51.0,18.0,45.0,19.0,61.0
79292,0206041,Gmina miejska,22.0,42.0,22.0,34.0,23.0,54.0
73028,0206041,Gmina miejska,4.0,,4.0,,2.0,
56131,0208064,Miasto,71.0,55.0,71.0,37.0,70.0,56.0
51856,0208064,Miasto,42.0,57.0,42.0,41.0,43.0,59.0
3532,0208065,Obszar wiejski,4.0,,4.0,,4.0,
3557,0208065,Obszar wiejski,13.0,51.0,13.0,41.0,13.0,63.0
3568,0208065,Obszar wiejski,9.0,,9.0,,9.0,
61357,0208065,Obszar wiejski,11.0,63.0,11.0,41.0,11.0,63.0
20075,0208011,Gmina miejska,27.0,59.0,27.0,41.0,27.0,69.0
48001,0208031,Gmina miejska,9.0,,9.0,,3.0,
122998,0208031,Gmina miejska,59.0,52.0,59.0,43.0,55.0,65.0
49704,0208021,Gmina miejska,60.0,57.0,60.0,52.0,61.0,65.0
26087,0208021,Gmina miejska,34.0,54.0,34.0,41.0,34.0,60.0
196316,0208021,Gmina miejska,61.0,56.0,61.0,37.0,61.0,64.0
105874,0208021,Gmina miejska,23.0,30.0,23.0,19.0,,
49557,0208021,Gmina miejska,30.0,62.0,30.0,41.0,30.0,64.0
262674,0208021,Gmina miejska,39.0,55.0,39.0,45.0,39.0,60.0
47120,0208072,Gmina wiejska,18.0,56.0,18.0,43.0,17.0,53.0
52495,0208072,Gmina wiejska,31.0,61.0,31.0,39.0,31.0,56.0
52438,0208072,Gmina wiejska,19.0,64.0,19.0,42.0,19.0,71.0
47628,0208072,Gmina wiejska,20.0,62.0,20.0,44.0,20.0,57.0
58624,0208072,Gmina wiejska,25.0,61.0,25.0,37.0,25.0,49.0
122528,0208092,Gmina wiejska,17.0,58.0,17.0,42.0,17.0,66.0
40079,0208084,Miasto,34.0,48.0,34.0,40.0,34.0,57.0
40077,0208085,Obszar wiejski,12.0,45.0,12.0,33.0,12.0,44.0
106291,0208105,Obszar wiejski,21.0,51.0,21.0,29.0,18.0,55.0
263325,0208104,Miasto,35.0,54.0,35.0,32.0,17.0,52.0
79949,0208041,Gmina miejska,54.0,47.0,54.0,27.0,54.0,50.0
89626,0208041,Gmina miejska,17.0,46.0,17.0,25.0,16.0,50.0
79952,0208041,Gmina miejska,73.0,55.0,73.0,32.0,73.0,63.0
52916,0208112,Gmina wiejska,30.0,53.0,30.0,41.0,29.0,58.0
9351,0208112,Gmina wiejska,28.0,36.0,28.0,31.0,28.0,42.0
9582,0208112,Gmina wiejska,16.0,60.0,16.0,45.0,16.0,55.0
90931,0208051,Gmina miejska,34.0,71.0,34.0,53.0,34.0,69.0
21194,0208125,Obszar wiejski,14.0,47.0,14.0,23.0,1.0,
21192,0208125,Obszar wiejski,9.0,,9.0,,9.0,
21197,0208124,Miasto,9.0,,9.0,,9.0,
21191,0208125,Obszar wiejski,34.0,53.0,34.0,35.0,33.0,44.0
63311,0208134,Miasto,43.0,57.0,43.0,38.0,43.0,56.0
89581,0208144,Miasto,42.0,63.0,42.0,40.0,42.0,62.0
10010,0262011,Gmina miejska,54.0,34.0,54.0,23.0,50.0,38.0
17335,0262011,Gmina miejska,61.0,49.0,61.0,36.0,61.0,61.0
6792,0262011,Gmina miejska,45.0,51.0,45.0,36.0,46.0,55.0
4440,0262011,Gmina miejska,105.0,55.0,105.0,44.0,106.0,67.0
6715,0262011,Gmina miejska,128.0,55.0,128.0,42.0,129.0,65.0
4007,0262011,Gmina miejska,64.0,59.0,64.0,42.0,69.0,72.0
8037,0262011,Gmina miejska,61.0,62.0,60.0,47.0,60.0,74.0
8314,0262011,Gmina miejska,49.0,58.0,49.0,40.0,50.0,66.0
7960,0262011,Gmina miejska,49.0,60.0,49.0,45.0,50.0,72.0
109552,0262011,Gmina miejska,74.0,60.0,74.0,46.0,78.0,66.0
3772,0262011,Gmina miejska,32.0,41.0,32.0,24.0,32.0,36.0
133562,0262011,Gmina miejska,20.0,32.0,20.0,26.0,20.0,32.0
63490,0209011,Gmina miejska,73.0,57.0,72.0,48.0,72.0,70.0
63485,0209011,Gmina miejska,42.0,50.0,42.0,34.0,40.0,56.0
87183,0209022,Gmina wiejska,7.0,,7.0,,7.0,
104744,0209022,Gmina wiejska,13.0,47.0,13.0,38.0,12.0,46.0
87154,0209022,Gmina wiejska,8.0,,8.0,,5.0,
80570,0209022,Gmina wiejska,8.0,,8.0,,5.0,
80849,0209022,Gmina wiejska,9.0,,9.0,,9.0,
87243,0209022,Gmina wiejska,20.0,54.0,20.0,39.0,20.0,56.0
59841,0209032,Gmina wiejska,15.0,50.0,15.0,35.0,15.0,48.0
73113,0209032,Gmina wiejska,13.0,53.0,13.0,42.0,13.0,40.0
56237,0209042,Gmina wiejska,17.0,63.0,17.0,41.0,14.0,61.0
56238,0209042,Gmina wiejska,5.0,,5.0,,5.0,
56233,0209042,Gmina wiejska,8.0,,8.0,,8.0,
262458,0209042,Gmina wiejska,18.0,59.0,18.0,49.0,17.0,68.0
91355,0209052,Gmina wiejska,44.0,51.0,44.0,40.0,44.0,56.0
110548,0209062,Gmina wiejska,37.0,48.0,37.0,42.0,37.0,58.0
110365,0209062,Gmina wiejska,11.0,68.0,11.0,46.0,12.0,66.0
20469,0209074,Miasto,56.0,55.0,56.0,41.0,56.0,59.0
20466,0209075,Obszar wiejski,12.0,52.0,12.0,35.0,12.0,59.0
12461,0209082,Gmina wiejska,14.0,52.0,14.0,39.0,14.0,46.0
58222,0210035,Obszar wiejski,16.0,52.0,16.0,34.0,6.0,
56043,0210035,Obszar wiejski,74.0,53.0,74.0,39.0,66.0,55.0
84444,0210011,Gmina miejska,44.0,58.0,44.0,41.0,28.0,73.0
63987,0210011,Gmina miejska,27.0,55.0,27.0,41.0,27.0,68.0
84445,0210011,Gmina miejska,13.0,47.0,13.0,30.0,13.0,51.0
84447,0210011,Gmina miejska,79.0,58.0,79.0,38.0,66.0,70.0
54449,0210042,Gmina wiejska,14.0,46.0,14.0,47.0,14.0,50.0
58146,0210042,Gmina wiejska,16.0,59.0,16.0,44.0,8.0,
44439,0210042,Gmina wiejska,15.0,45.0,15.0,29.0,9.0,
85919,0210054,Miasto,24.0,53.0,24.0,37.0,21.0,61.0
85937,0210054,Miasto,21.0,60.0,21.0,50.0,11.0,68.0
16957,0210062,Gmina wiejska,13.0,47.0,13.0,29.0,5.0,
262435,0210062,Gmina wiejska,4.0,,4.0,,2.0,
121368,0210072,Gmina wiejska,22.0,48.0,22.0,33.0,14.0,58.0
118688,0210072,Gmina wiejska,14.0,54.0,14.0,33.0,13.0,53.0
80118,0210021,Gmina miejska,12.0,50.0,12.0,33.0,5.0,
86188,0210021,Gmina miejska,34.0,54.0,34.0,45.0,32.0,68.0
10078,0211011,Gmina miejska,66.0,61.0,66.0,50.0,67.0,75.0
10079,0211011,Gmina miejska,63.0,59.0,63.0,54.0,63.0,72.0
10080,0211011,Gmina miejska,131.0,64.0,131.0,53.0,131.0,77.0
107150,0211011,Gmina miejska,34.0,59.0,34.0,53.0,37.0,80.0
10075,0211011,Gmina miejska,34.0,45.0,34.0,39.0,32.0,56.0
