,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,128964,dla młodzieży,Nie,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""JONATAN""",Bielsko-Biała,ul. Adama Mickiewicza 21,11,46,17,47,,11,33,17,24,24,11,54,25,56,22,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,130789,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA MISTRZOSTWA SPORTOWEGO MM SPORT,Bielsko-Biała,ul. gen. Mieczysława Boruty-Spiechowicza 24,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,264968,dla młodzieży,Tak,SZKOŁA PODSTAWOWA ZGROMADZENIA CÓREK BOŻEJ MIŁOŚCI IM. FRANCISZKI LECHNER W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Władysława Broniewskiego 13,29,77,10,76,76,29,75,18,76,76,29,91,17,98,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bielsko-Biała,Bielsko-Biała,Gmina miejska,2461011,272121,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 30 W BIELSKU-BIAŁEJ,Bielsko-Biała,ul. Mazańcowicka 34,26,55,17,58,47,26,47,25,48,36,26,60,27,62,58,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25477,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 32 IM. 1 PUŁKU STRZELCÓW BYTOMSKICH,Bytom,ul. Szymały 124,43,63,15,67,67,43,46,26,40,20,42,74,26,84,96,,,,,,,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25595,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 36 W BYTOMIU,Bytom,ul. Henryka Siemiradzkiego 9,40,47,22,54,58,40,32,22,26,12,40,54,31,51,20,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25865,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM.WŁADYSŁAWA BRONIEWSKIEGO,Bytom,ul. Strażacka 2,47,44,23,40,29,48,27,16,24,24,48,46,30,32,18,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25866,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM.MIKOŁAJA KOPERNIKA,Bytom,ul. Bolesława Chrobrego 9,58,55,19,58,62,58,44,26,40,56,58,65,31,73,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25867,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM.POLI MACIEJOWSKIEJ,Bytom,ul. Aleja Legionów 6,49,56,20,58,42,50,39,22,32,24,51,66,30,73,96,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25875,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 6 IM. KSIĘDZA GRZEGORZA GERWAZEGO GORCZYCKIEGO,Bytom,ul. Królowej Jadwigi 2,42,44,18,43,38,42,34,25,24,20,42,51,30,46,20,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,25876,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM.ADAMA MICKIEWICZA,Bytom,ul. Jana Matejki 15,39,55,18,56,53,39,30,18,28,16,39,48,24,44,24,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26666,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 16 IM.MARII KONOPNICKIEJ,Bytom,ul. Macieja Rataja 3,40,41,20,42,40,40,34,23,28,16,40,52,29,51,16,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26667,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 21 IM. JÓZEFA LOMPY,Bytom,ul. Racławicka 17,34,47,23,47,38,35,29,17,28,24,34,41,25,37,13,,,,,,,,,,,1,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26668,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 23,Bytom,ul. Stanisława Wojciechowskiego 6,52,50,20,58,62,52,33,19,28,24,52,62,29,69,95,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26669,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 28 IM.KRÓLOWEJ JADWIGI,Bytom,ul. Armii Krajowej 40,36,57,21,61,20,36,38,23,36,24,36,58,30,64,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26670,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 33,Bytom,ul. Matki Ewy 9,70,55,16,58,53,70,45,23,44,32,70,60,28,64,96,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26813,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 37,Bytom,ul. Tysiąclecia 7,22,51,14,48,62,22,28,20,20,16,22,49,28,45,16,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,26815,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 38 IM. JANA III SOBIESKIEGO,Bytom,ul. Janusza Korczaka 1,17,60,14,60,51,17,40,20,40,44,17,68,24,65,64,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27891,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 42 IM. ZIEMI BYTOMSKIEJ W BYTOMIU,Bytom,ul. Chorzowska 28H,40,57,18,60,69,40,42,21,36,32,40,65,30,75,100,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27892,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 44 IM.UNICEF,Bytom,ul. Generała Grota-Roweckiego 6,33,49,18,51,56,33,29,22,24,8,33,55,30,51,95,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27893,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 45,Bytom,ul. Zakątek 20,118,57,19,60,69,118,47,24,44,36,119,67,27,71,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27894,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 46 IM. BRACTWA KURKOWEGO GRODU BYTOMSKIEGO,Bytom,ul. Bolesława Prusa 10,52,50,22,51,51,52,29,16,28,32,53,53,32,44,18,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27896,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 54 IM. WACŁAWA KUCHARA,Bytom,ul. Reptowska 86,77,60,17,62,69,77,43,24,36,28,77,69,30,87,98,,,,,,,,,,,,,,,,,,,,,,,,,
2,Śląskie,Bytom,Bytom,Gmina miejska,2462011,27897,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 51 Z ODDZIAŁAMI INTEGRACYJNYMI W BYTOMIU,Bytom,ul. Łużycka 12a,72,59,14,62,64,72,50,25,52,16,72,75,29,91,95,,,,,,,,,,,,,,,,,,,,,,,,,
