,,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,
ID OKE,województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,83266,dla młodzieży,Tak,PUBLICZNA SZKOŁA PODSTAWOWA NR 7 IM. MIKOŁAJA KOPERNIKA W ZIELONEJ GÓRZE,Zielona Góra,ul. Zielonogórska 5,93,68,11,69,71,93,72,22,76,96,78,87,18,96,100,,,,,,,,,,,16,84,20,91,100,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,87484,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 W ZESPOLE EDUKACYJNYM NR 1IM. JEANA DE LA FONTAINE?A W ZIELONEJ GÓRZE,Zielona Góra,ul. Truskawkowa 12,62,64,15,67,71,62,62,27,66,80,62,81,20,87,98,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,89742,dla młodzieży,Nie,SPOŁECZNA SZKOŁA PODSTAWOWA NR 1 SAMODZIELNEGO KOŁA TERENOWEGO NR 156 SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W ZIELONEJ GÓRZE,Zielona Góra,ul. Władysława IV 1,2,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,89746,dla młodzieży,Nie,"CHRZEŚCIJAŃSKA SZKOŁA PODSTAWOWA ""SALOMON"" W ZIELONEJ GÓRZE",Zielona Góra,ul. Rydza-Śmigłego 1,6,,,,,6,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,119559,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. MARII MONTESSORI W ZIELONEJ GÓRZE,Zielona Góra,ul. Trasa Północna 15,12,62,10,64,49,12,60,20,62,68,12,86,14,92,98,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,119564,dla młodzieży,Nie,EUROPEJSKA SZKOŁA PODSTAWOWA DR RAHN W ZIELONEJ GÓRZE,Zielona Góra,ul. Henryka Sienkiewicza 36,18,73,12,71,84,18,43,25,32,24,17,88,14,96,100,,,,,,,,,,,1,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,119634,dla młodzieży,Nie,KATOLICKA SZKOŁA PODSTAWOWA W ZIELONEJ GÓRZE,Zielona Góra,ul. Świętych Cyryla i Metodego 9,15,57,14,62,47,15,52,24,52,32,15,75,22,84,87,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,126942,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 17 Z ODDZIAŁAMI INTEGRACYJNYMI IM. GENERAŁA WŁADYSŁAWA SIKORSKIEGO W ZESPOLE EDUKACYJNYM NR 2 W ZIELONEJ GÓRZE,Zielona Góra,ul. Leopolda Staffa 10,46,53,17,51,49,46,42,23,36,36,50,55,31,41,24,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,196279,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 W ZIELONEJ GÓRZE,Zielona Góra,ul. Stefana Wyszyńskiego 101,24,63,17,67,51,24,57,26,54,88,25,73,29,80,96,,,,,,,,,,,,,,,,,,,,
6,Lubuskie,Zielona Góra,Zielona Góra,Gmina miejska,0862011,196376,dla dorosłych,Tak,SZKOŁA PODSTAWOWA NR 2 DLA DOROSŁYCH W ZIELONEJ GÓRZE,Zielona Góra,ul. Botaniczna 66,21,18,9,16,16,21,16,8,16,16,21,18,5,16,13,,,,,,,,,,,,,,,,,,,,
