,,,,,,,,,,,Język polski,,,,,Matematyka,,,,,Język angielski,,,,,Język francuski,,,,,Język hiszpański,,,,,Język niemiecki,,,,,Język rosyjski,,,,,Język włoski,,,,
województwo - nazwa,powiat - nazwa,Gmina - nazwa,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki
",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%),"liczba
zdających","wynik
średni (%)",odchylenie standardowe (%),mediana (%),modalna (%)
Łódzkie,bełchatowski,Szczerców,Gmina wiejska,1001072,18838,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W LUBCU,Lubiec,61,6,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Szczerców,Gmina wiejska,1001072,19080,dla młodzieży,Tak,SZKOŁA PODSTAWOWA W OSINACH,Osiny,13,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Miasto,1001084,35208,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM. TADEUSZA KOŚCIUSZKI Z ODDZIAŁAMI INTEGRACYJNYMI W ZELOWIE,Zelów,ul. Tadeusza Kościuszki 40/42,33,47,19,51,56,33,41,22,32,32,33,57,30,62,24,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Miasto,1001084,38999,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. HENRYKA SIENKIEWICZA W ZELOWIE,Zelów,ul. Stefana Żeromskiego 53,49,60,16,62,80,49,43,23,40,20,49,60,33,64,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Miasto,1001084,262533,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. OBROŃCÓW PRAW CZŁOWIEKA W ZELOWIE,Zelów,ul. Jana Kilińskiego 40,16,55,16,58,58,16,36,20,36,20,16,62,34,64,100,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Obszar wiejski,1001085,39746,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W WYGIEŁZOWIE,Wygiełzów,17,19,48,19,49,29,19,36,26,28,24,19,41,26,27,18,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Obszar wiejski,1001085,39747,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W KOCISZEWIE,Kociszew,32,13,52,13,51,36,13,26,14,24,24,13,54,28,58,15,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,bełchatowski,Zelów,Obszar wiejski,1001085,133953,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. JANUSZA KUSOCIŃSKIEGO W ŁOBUDZICACH,Łobudzice,54,7,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,brzeziński,Brzeziny,Gmina miejska,1021011,40683,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 2 IM ANDRZEJA FRYCZA MODRZEWSKIEGO W BRZEZINACH,Brzeziny,ul. Henryka Sienkiewicza 17,66,66,17,69,69,66,62,24,64,48,67,72,28,82,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,brzeziński,Brzeziny,Gmina miejska,1021011,40685,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. KAZIMIERZA WIELKIEGO W BRZEZINACH,Brzeziny,ul. Stanisława Moniuszki 21,57,60,18,62,62,57,50,25,44,20,57,65,29,69,100,,,,,,,,,,,,,,,,,,,,,,,,,
