,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English,Prctl in English
165,1,0,0.051966100749844535,1,0.0547945205479452,0.041822721598002495,1,1,1,0,0,0.0,59,38.737040527803956
166,1,0,0.05234208555326565,1,0.10730593607305935,0.06679151061173533,1,1,0,0,0,0.01282051282051282,46,9.519321394910461
167,1,0,0.05234208555326565,1,0.1643835616438356,0.15980024968789014,0,1,0,0,1,0.07264957264957266,48,12.849513038014452
168,1,0,0.043747076591672235,1,0.0547945205479452,0.11672908863920099,0,1,0,0,0,0.042735042735042736,55,27.756833176248826
169,1,0,0.043747076591672235,0,0.0547945205479452,0.10486891385767791,0,1,1,0,1,0.008547008547008548,61,44.56487590323594
170,1,0,0.05366815342128579,0,0.04794520547945205,0.0686641697877653,1,1,0,0,0,0.008547008547008548,49,14.828777882500784
171,1,0,0.05366815342128579,0,0.04794520547945205,0.0986267166042447,0,1,0,0,0,0.021367521367521368,48,12.849513038014452
172,1,0,0.05366815342128579,0,0.04794520547945205,0.06741573033707865,1,1,0,0,0,0.02564102564102564,51,18.44172164624568
173,1,0,0.060749031658924334,1,0.18493150684931506,0.20786516853932585,1,0,1,1,0,0.01282051282051282,53,22.79296261388627
174,0,1,0.07228200660321946,1,0.13013698630136986,0.4019975031210986,1,1,0,0,1,0.23504273504273504,66,59.72353125981778
175,0,1,0.07228200660321946,1,0.2146118721461187,0.5156054931335831,1,1,1,1,1,0.21367521367521367,70,71.06503298774741
176,0,1,0.07228200660321946,1,0.05707762557077625,0.34269662921348315,1,1,0,1,1,0.1794871794871795,71,73.78259503612944
177,1,0,0.06341739079269,1,0.07990867579908675,0.10112359550561797,1,0,1,0,0,0.004273504273504274,51,18.44172164624568
178,1,0,0.06341739079269,1,0.07990867579908675,0.10986267166042447,0,1,1,1,1,0.0,66,59.72353125981778
179,1,0,0.06341739079269,1,0.07990867579908675,0.15543071161048688,1,1,0,1,1,0.08547008547008547,48,12.849513038014452
180,1,0,0.06341739079269,0,0.07990867579908675,0.0898876404494382,1,0,1,1,1,0.008547008547008548,57,33.113415017279294
181,1,0,0.06341739079269,0,0.07990867579908675,0.07428214731585518,0,0,0,1,1,0.0,46,9.519321394910461
182,1,0,0.054421766545448697,1,0.228310502283105,0.10736579275905118,1,0,0,0,1,0.0,76,84.90417844800503
183,1,0,0.054421766545448697,1,0.2054794520547945,0.16042446941323346,0,0,0,1,1,0.08547008547008547,52,20.23248507697141
184,1,0,0.043060512602212234,1,0.04794520547945205,0.08739076154806492,0,1,0,0,0,0.01282051282051282,53,22.79296261388627
185,1,0,0.043060512602212234,0,0.04794520547945205,0.14232209737827714,0,1,0,0,1,0.05982905982905983,63,50.67546339930883
186,1,0,0.08358483216948596,0,0.273972602739726,0.10424469413233459,0,1,0,0,1,0.042735042735042736,50,16.462456801759345
187,1,0,0.08358483216948596,0,0.1872146118721461,0.09300873907615481,1,1,1,0,0,0.021367521367521368,49,14.828777882500784
188,1,0,0.08358483216948596,0,0.04337899543378995,0.039950062421972535,1,0,0,0,0,0.0,42,4.775369148601947
