RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Participants in mathematics,Avg. score in mathematics
56431,0663011,0,1,0,0,7063.48,67,59
58600,0663011,0,1,0,0,7063.48,113,53
59083,0663011,0,1,0,0,7063.48,50,25
68328,0663011,0,1,0,0,7063.48,32,34
78993,0663011,0,1,0,0,7063.48,38,51
79194,0663011,0,1,0,0,7063.48,94,54
81081,0663011,0,1,0,0,7063.48,107,70
82906,0663011,0,1,0,0,7063.48,48,59
83798,0663011,0,1,0,0,7063.48,49,68
90592,0663011,0,1,0,0,7063.48,94,53
90593,0663011,0,1,0,0,7063.48,43,60
90594,0663011,0,1,0,0,7063.48,48,49
90595,0663011,0,1,0,0,7063.48,158,62
90596,0663011,0,1,0,0,7063.48,32,30
90597,0663011,0,1,0,0,7063.48,79,63
91544,0663011,0,1,0,0,7063.48,35,53
91547,0663011,0,1,0,0,7063.48,48,54
133399,0663011,0,1,0,0,7063.48,48,68
133710,0663011,0,1,0,0,7063.48,17,54
133715,0663011,0,1,0,0,7063.48,25,61
133718,0663011,0,1,0,0,7063.48,76,66
133733,0663011,0,1,0,0,7063.48,27,66
4205,0664011,0,1,0,0,8202.6,78,43
77437,0664011,0,1,0,0,8202.6,27,42
89138,0664011,0,1,0,0,8202.6,33,50
92367,0664011,0,1,0,0,8202.6,62,59
105374,0664011,0,1,0,0,8202.6,75,52
105377,0664011,0,1,0,0,8202.6,43,62
105380,0664011,0,1,0,0,8202.6,60,47
105389,0664011,0,1,0,0,8202.6,59,50
105456,0664011,0,1,0,0,8202.6,48,41
14015,0601032,1,0,0,0,5114.52,25,32
14017,0601032,1,0,0,0,5114.52,10,51
14018,0601032,1,0,0,0,5114.52,16,43
14019,0601032,1,0,0,0,5114.52,14,33
14020,0601032,1,0,0,0,5114.52,15,43
14021,0601032,1,0,0,0,5114.52,11,51
14026,0601032,1,0,0,0,5114.52,15,46
24358,0601042,1,0,0,0,5903.98,22,38
24411,0601042,1,0,0,0,5903.98,10,44
24752,0601042,1,0,0,0,5903.98,12,50
31428,0601042,1,0,0,0,5903.98,14,33
89630,0601052,1,0,0,0,6066.06,41,36
85852,0601062,1,0,0,0,6124.53,25,42
25315,0601072,1,0,0,0,5886.61,33,36
114017,0601082,1,0,0,0,5809.27,32,41
5989,0601011,0,1,0,0,5199.9,31,38
6735,0601011,0,1,0,0,5199.9,50,43
7039,0601011,0,1,0,0,5199.9,60,42
31645,0601102,1,0,0,0,6483.17,16,28
80730,0601102,1,0,0,0,6483.17,14,27
80731,0601102,1,0,0,0,6483.17,23,44
80733,0601102,1,0,0,0,6483.17,11,35
80734,0601102,1,0,0,0,6483.17,16,37
81072,0601112,1,0,0,0,5845.47,13,38
85754,0601112,1,0,0,0,5845.47,36,38
60793,0601122,1,0,0,0,5469.01,34,43
7206,0601132,1,0,0,0,5415.09,25,44
8452,0601152,1,0,0,0,5135.84,14,53
109043,0601142,1,0,0,0,7351.45,22,36
49714,0601021,0,1,0,0,5155.78,47,45
59698,0601162,1,0,0,0,5513.26,12,33
69769,0601162,1,0,0,0,5513.26,18,45
104086,0601162,1,0,0,0,5513.26,33,44
83698,0601172,1,0,0,0,6021.54,23,49
7915,0601182,1,0,0,0,6727.39,28,40
22432,0601192,1,0,0,0,5476.81,30,39
86918,0601092,1,0,0,0,6169.48,36,39
83748,0602022,1,0,0,0,5356.6,39,51
81105,0602042,1,0,0,0,5850.32,18,42
85355,0602011,0,1,0,0,5289.88,144,57
85473,0602011,0,1,0,0,5289.88,82,54
85489,0602011,0,1,0,0,5289.88,13,56
129930,0602011,0,1,0,0,5289.88,36,51
53356,0602032,1,0,0,0,5798.21,10,46
53408,0602032,1,0,0,0,5798.21,11,58
53414,0602032,1,0,0,0,5798.21,16,39
53425,0602032,1,0,0,0,5798.21,28,45
53427,0602032,1,0,0,0,5798.21,18,34
53430,0602032,1,0,0,0,5798.21,11,47
111682,0602032,1,0,0,0,5798.21,11,50
111685,0602032,1,0,0,0,5798.21,12,46
50309,0602082,1,0,0,0,6773.41,12,55
50390,0602082,1,0,0,0,6773.41,14,53
80037,0602082,1,0,0,0,6773.41,20,66
84257,0602082,1,0,0,0,6773.41,18,38
84997,0602102,1,0,0,0,6354.86,13,31
85235,0602102,1,0,0,0,6354.86,16,48
68840,0602112,1,0,0,0,4977.29,23,51
11133,0602132,1,0,0,0,5116.54,14,54
27168,0602132,1,0,0,0,5116.54,14,46
27311,0602142,1,0,0,0,5202.58,23,45
86163,0602092,1,0,0,0,5003.05,14,40
