RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
106093,1011022,1,0,0,0,5321.85,1,1958-09-01,265,0,1,0,0,1,22,54
55546,1011052,1,0,0,0,6259.02,1,1999-09-01,298,1,1,0,0,0,26,65
14960,1011062,1,0,0,0,5667.38,1,1999-09-01,210,0,1,1,1,0,21,51
15018,1011062,1,0,0,0,5667.38,1,1999-09-01,174,1,1,1,0,1,18,41
34575,1012022,1,0,0,0,5297.69,1,1975-12-15,249,0,1,1,0,1,19,56
34577,1012022,1,0,0,0,5297.69,0,1985-05-27,123,1,1,0,0,0,11,39
89387,1012032,1,0,0,0,4967.83,1,1983-05-26,207,1,1,1,1,1,23,66
91952,1012032,1,0,0,0,4967.83,1,1983-03-31,125,1,1,1,0,1,10,76
83446,1012042,1,0,0,0,5479.94,1,1963-09-01,103,0,1,0,0,1,10,46
88061,1012042,1,0,0,0,5479.94,1,1984-10-21,346,0,1,0,0,1,35,53
69163,1012062,1,0,0,0,4905.58,1,1913-09-01,111,1,1,1,0,1,17,56
69391,1012062,1,0,0,0,4905.58,1,1860-09-01,283,0,1,0,0,1,33,62
70856,1012072,1,0,0,0,4959.45,1,1974-09-01,417,1,1,1,0,1,36,57
60258,1012082,1,0,0,0,6102.84,0,1996-01-01,94,1,1,0,0,1,15,59
60943,1012082,1,0,0,0,6102.84,1,1996-01-01,205,0,1,1,0,1,21,65
113578,1012102,1,0,0,0,6085.4,1,2000-09-01,382,0,1,0,0,0,48,55
65193,1012011,0,1,0,0,5261.42,0,1985-09-01,187,1,1,0,0,1,15,53
65194,1012011,0,1,0,0,5261.42,1,1987-09-01,191,1,1,1,0,1,17,63
71366,1012011,0,1,0,0,5261.42,0,1985-09-01,500,1,1,1,1,1,37,69
71367,1012011,0,1,0,0,5261.42,0,1985-09-01,446,1,1,1,1,1,58,50
71368,1012011,0,1,0,0,5261.42,1,1985-09-01,366,0,1,1,1,1,40,59
71369,1012011,0,1,0,0,5261.42,0,1985-09-01,619,1,1,1,1,1,71,67
71370,1012011,0,1,0,0,5261.42,1,1985-09-01,557,1,1,1,0,1,67,63
71371,1012011,0,1,0,0,5261.42,0,1985-09-01,459,1,1,1,1,1,58,76
71372,1012011,0,1,0,0,5261.42,0,1987-09-01,170,1,1,0,0,1,21,49
30807,1012122,1,0,0,0,5351.07,0,1996-01-01,110,1,1,0,0,0,14,52
31154,1012122,1,0,0,0,5351.07,1,1996-01-01,215,1,1,1,0,1,21,51
31251,1012122,1,0,0,0,5351.07,1,1996-01-01,67,1,1,1,0,0,10,59
58988,1012132,1,0,0,0,5361.07,1,1973-09-01,107,1,1,0,0,0,13,46
60142,1012132,1,0,0,0,5361.07,1,1948-09-01,256,0,1,0,0,1,27,48
34517,1012092,1,0,0,0,5133.12,1,1996-01-01,187,0,1,0,0,0,20,55
49250,1012092,1,0,0,0,5133.12,0,1996-01-01,168,0,1,1,0,1,12,61
80400,1012142,1,0,0,0,5396.36,0,1999-03-15,110,1,1,0,0,0,12,49
80401,1012142,1,0,0,0,5396.36,0,1999-03-15,158,0,1,0,0,0,15,48
80842,1012142,1,0,0,0,5396.36,0,1999-03-15,108,1,1,0,0,0,16,51
71791,1013032,1,0,0,0,5585.35,1,1939-09-01,333,1,0,1,1,0,13,53
16203,1013011,0,1,0,0,5895.16,1,1963-01-07,644,1,1,0,0,1,65,66
43637,1013011,0,1,0,0,5895.16,1,1926-10-18,826,1,1,1,1,1,60,70
