ID,Rural county,Urban county,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in mathematics,Avg. score in mathematics,Prctl in mathematics
144,1,0,0.06381166225617393,1,0.04794520547945205,0.13108614232209737,0,1,1,1,0,0.05439330543933055,44,46.49984648449493
145,1,0,0.06381166225617393,1,0.04794520547945205,0.10861423220973783,1,1,1,0,1,0.04602510460251046,35,15.059871046975745
146,1,0,0.04995743463518187,1,0.10273972602739725,0.15543071161048688,0,1,1,0,1,0.03765690376569038,46,54.160270187288916
147,1,0,0.04995743463518187,0,0.07990867579908675,0.07677902621722846,1,1,0,0,0,0.0041841004184100415,35,15.059871046975745
148,1,0,0.037482521898449334,1,0.08447488584474885,0.12921348314606743,1,1,1,1,1,0.05439330543933055,37,20.63248388087197
149,1,0,0.037482521898449334,1,0.13013698630136986,0.054307116104868915,1,1,1,0,1,0.0,38,24.08658274485723
150,1,0,0.037482521898449334,1,0.08447488584474885,0.0780274656679151,1,1,1,0,1,0.0,59,89.74516426159042
151,1,0,0.05680392786151018,1,0.13013698630136986,0.06429463171036205,0,1,0,0,1,0.0,36,17.838501688670554
152,1,0,0.05680392786151018,1,0.0821917808219178,0.21598002496878901,0,1,0,0,1,0.10460251046025104,44,46.49984648449493
153,1,0,0.035116153498422974,1,0.24429223744292236,0.06928838951310862,1,1,1,0,1,0.029288702928870293,45,50.690819772797056
154,1,0,0.035116153498422974,1,0.365296803652968,0.1766541822721598,0,1,0,0,1,0.09623430962343096,44,46.49984648449493
155,1,0,0.03716419099081903,1,0.1050228310502283,0.2602996254681648,1,1,1,0,1,0.1087866108786611,40,30.91802272029475
156,1,0,0.07996179804260414,0,0.0547945205479452,0.05867665418227216,1,1,0,0,1,0.02092050209205021,39,27.387166103776483
157,1,0,0.07996179804260414,1,0.0547945205479452,0.12796504369538078,0,1,1,0,1,0.04602510460251046,49,65.18268345102855
158,1,0,0.07931845493926262,1,0.045662100456621,0.23845193508114856,0,1,0,0,0,0.1589958158995816,42,38.44028246852932
159,0,1,0.048591012906242764,0,0.07990867579908675,0.11672908863920099,1,1,0,0,1,0.02092050209205021,49,65.18268345102855
160,0,1,0.048591012906242764,1,0.07534246575342465,0.11922596754057428,1,1,1,0,1,0.029288702928870293,52,74.68529321461467
161,0,1,0.048591012906242764,0,0.07990867579908675,0.3121098626716604,1,1,1,1,1,0.1087866108786611,55,82.63739637703408
162,0,1,0.048591012906242764,0,0.07990867579908675,0.2784019975031211,1,1,1,1,1,0.200836820083682,36,17.838501688670554
163,0,1,0.048591012906242764,1,0.07990867579908675,0.22846441947565543,0,1,1,1,1,0.12552301255230125,33,10.592569849554804
164,0,1,0.048591012906242764,0,0.07990867579908675,0.3863920099875156,1,1,1,1,1,0.2510460251046025,45,50.690819772797056
